"Time","Position","Velocity","Acceleration"
0.1,0.199,0.064,-0.110
0.2,0.206,0.054,-0.130
0.3,0.211,0.040,-0.156
0.4,0.214,0.023,-0.182
0.5,0.216,0.003,-0.197
0.6,0.215,-0.018,-0.197
0.7,0.212,-0.038,-0.176
0.8,0.207,-0.055,-0.120
0.9,0.201,-0.066,-0.017
1.0,0.193,-0.065,0.133
1.1,0.185,-0.034,0.222
1.2,0.186,-0.005,0.166
1.3,0.186,0.001,0.074
1.4,0.186,0.005,0.014
1.5,0.188,0.002,-0.020
1.6,0.187,-0.003,-0.006
1.7,0.186,-0.001,0.025
1.8,0.187,0.005,0.025
1.9,0.187,0.007,-0.006
2.0,0.188,0.007,-0.059
2.1,0.191,-0.011,-0.037
2.2,0.185,-0.017,0.134
2.3,0.183,0.018,0.278
2.4,0.188,0.061,0.212
2.5,0.199,0.073,0.013
2.6,0.205,0.056,-0.131
2.7,0.210,0.034,-0.159
2.8,0.211,0.022,-0.151
2.9,0.215,0.010,-0.187
3.0,0.214,-0.016,-0.211
3.1,0.211,-0.037,-0.186
3.2,0.206,-0.056,-0.124
3.3,0.200,-0.066,-0.014
3.4,0.192,-0.064,0.137
3.5,0.184,-0.033,0.223
3.6,0.186,-0.004,0.160
3.7,0.186,0.001,0.066
3.8,0.186,0.005,0.010
3.9,0.187,-0.001,-0.006
4.0,0.185,-0.001,0.022
4.1,0.186,0.007,0.027
4.2,0.187,0.008,0.001
4.3,0.188,0.008,-0.035
4.4,0.189,0.001,-0.063
4.5,0.189,-0.011,-0.021
4.6,0.186,-0.014,0.116
4.7,0.183,0.013,0.241
4.8,0.188,0.050,0.226
4.9,0.196,0.065,0.144
5.0,0.203,0.069,0.081
