"Time","Position","Velocity","Acceleration"
0.1,0.248,0.106,-0.150
0.2,0.259,0.094,-0.191
0.3,0.269,0.073,-0.247
0.4,0.275,0.044,-0.298
0.5,0.277,0.011,-0.325
0.6,0.277,-0.024,-0.321
0.7,0.272,-0.056,-0.289
0.8,0.265,-0.079,-0.269
0.9,0.258,-0.110,-0.232
1.0,0.242,-0.134,-0.116
1.1,0.229,-0.135,0.021
1.2,0.215,-0.126,0.128
1.3,0.203,-0.108,0.214
1.4,0.192,-0.079,0.256
1.5,0.188,-0.055,0.273
1.6,0.180,-0.026,0.298
1.7,0.182,0.006,0.307
1.8,0.182,0.034,0.322
1.9,0.188,0.073,0.304
2.0,0.197,0.101,0.230
2.1,0.209,0.120,0.140
2.2,0.222,0.129,0.043
2.3,0.235,0.128,-0.049
2.4,0.248,0.119,-0.137
2.5,0.260,0.101,-0.221
2.6,0.269,0.073,-0.291
2.7,0.275,0.040,-0.329
2.8,0.277,0.005,-0.332
2.9,0.276,-0.029,-0.305
3.0,0.271,-0.059,-0.254
3.1,0.263,-0.077,-0.222
3.2,0.256,-0.100,-0.213
3.3,0.244,-0.124,-0.162
3.4,0.230,-0.139,-0.042
3.5,0.214,-0.136,0.119
3.6,0.201,-0.112,0.248
3.7,0.191,-0.082,0.319
3.8,0.184,-0.044,0.332
3.9,0.183,-0.010,0.293
4.0,0.183,0.015,0.259
4.1,0.186,0.036,0.264
4.2,0.189,0.066,0.280
4.3,0.199,0.099,0.236
4.4,0.211,0.118,0.141
4.5,0.223,0.127,0.042
4.6,0.237,0.126,-0.051
4.7,0.249,0.115,-0.121
4.8,0.261,0.098,-0.150
4.9,0.269,0.081,-0.141
5.0,0.275,0.070,-0.124
