"Time","Position","Velocity","Acceleration"
0.1,0.189,0.079,0.904
0.2,0.185,0.195,0.426
0.3,0.224,0.256,-0.419
0.4,0.257,0.132,-1.338
0.5,0.262,-0.100,-1.400
0.6,0.230,-0.257,-0.386
0.7,0.186,-0.182,0.757
0.8,0.188,-0.031,1.188
0.9,0.184,0.099,1.029
1.0,0.206,0.224,0.277
1.1,0.243,0.197,-0.835
1.2,0.262,0.010,-1.408
1.3,0.246,-0.190,-0.916
1.4,0.208,-0.237,0.237
1.5,0.181,-0.103,1.062
1.6,0.188,0.048,1.123
1.7,0.194,0.161,0.643
1.8,0.223,0.218,-0.283
1.9,0.254,0.111,-1.184
2.0,0.256,-0.096,-1.268
2.1,0.228,-0.240,-0.378
2.2,0.188,-0.182,0.683
2.3,0.187,-0.049,1.206
2.4,0.176,0.108,1.107
2.5,0.209,0.240,0.269
2.6,0.241,0.195,-0.863
2.7,0.261,0.010,-1.384
2.8,0.243,-0.175,-0.928
2.9,0.214,-0.231,0.132
3.0,0.182,-0.127,1.003
3.1,0.185,0.029,1.217
3.2,0.188,0.174,0.743
3.3,0.226,0.234,-0.297
3.4,0.254,0.105,-1.190
3.5,0.254,-0.094,-1.173
3.6,0.225,-0.205,-0.358
3.7,0.199,-0.167,0.552
3.8,0.188,-0.059,1.081
3.9,0.183,0.094,1.045
4.0,0.207,0.220,0.269
4.1,0.243,0.181,-0.812
4.2,0.257,0.003,-1.320
4.3,0.244,-0.176,-0.860
4.4,0.209,-0.227,0.212
4.5,0.182,-0.106,1.046
4.6,0.186,0.055,1.135
4.7,0.198,0.164,0.697
4.8,0.223,0.214,0.050
4.9,0.252,0.156,-0.460
5.0,0.251,0.069,-0.727
