"Time","Position","Velocity","Acceleration"
0.1,0.403,-0.181,0.015
0.2,0.385,-0.182,0.063
0.3,0.365,-0.177,0.150
0.4,0.348,-0.157,0.279
0.5,0.333,-0.121,0.418
0.6,0.322,-0.071,0.525
0.7,0.317,-0.009,0.554
0.8,0.321,0.048,0.490
0.9,0.329,0.088,0.415
1.0,0.338,0.129,0.351
1.1,0.355,0.164,0.229
1.2,0.373,0.180,0.049
1.3,0.393,0.176,-0.153
1.4,0.410,0.146,-0.323
1.5,0.423,0.105,-0.434
1.6,0.431,0.056,-0.499
1.7,0.434,0.004,-0.537
1.8,0.433,-0.055,-0.527
1.9,0.422,-0.108,-0.447
2.0,0.411,-0.146,-0.336
2.1,0.393,-0.180,-0.171
2.2,0.372,-0.186,0.046
2.3,0.354,-0.167,0.232
2.4,0.338,-0.134,0.368
2.5,0.326,-0.091,0.472
2.6,0.319,-0.038,0.543
2.7,0.318,0.021,0.563
2.8,0.323,0.079,0.521
2.9,0.334,0.133,0.393
3.0,0.352,0.165,0.197
3.1,0.370,0.169,0.026
3.2,0.386,0.165,-0.095
3.3,0.403,0.152,-0.227
3.4,0.418,0.122,-0.374
3.5,0.429,0.075,-0.493
3.6,0.434,0.017,-0.544
3.7,0.432,-0.040,-0.521
3.8,0.425,-0.092,-0.445
3.9,0.413,-0.130,-0.346
4.0,0.399,-0.162,-0.225
4.1,0.379,-0.181,-0.045
4.2,0.360,-0.173,0.151
4.3,0.344,-0.147,0.315
4.4,0.330,-0.107,0.441
4.5,0.321,-0.055,0.516
4.6,0.318,0.001,0.532
4.7,0.322,0.056,0.487
4.8,0.330,0.102,0.407
4.9,0.343,0.138,0.323
5.0,0.361,0.159,0.261
